#Source SSTISAGE1C J050414.96-662607.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	3.483	0.28297	15.185	0.092
0.547 	17.108	1.9738	13.361	0.1331
0.802 	56.543	9.2084	11.671	0.193
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	39.17	1.156	9.626	0.032
4.5 	   22	0.6997	9.779	0.035
5.8 	15.25	0.5122	9.708	0.036
8 	9.197	0.2658	9.591	0.031
24 	1.096	0.08076	 9.54	0.08015
70 	-999.9	-999.9	-999.9	-999.9
