#Source SSTISAGE1C J053253.97-704027.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.007863	0.0025984	20.913	 0.31
0.4747 	0.17043	0.012694	18.461	0.078
0.547 	0.69248	0.034709	16.843	0.0531
0.802 	2.1836	0.05911	15.204	0.029
1.21 	3.9368	0.10729	14.017	 0.03
1.59 	5.3592	0.13644	13.203	0.028
2.15 	4.5164	0.10687	12.923	0.026
3.6 	 2.65	0.1837	12.55	0.075
4.5 	1.942	0.1689	12.414	0.094
5.8 	2.129	0.1302	11.845	0.066
8 	2.246	0.09203	11.122	0.044
24 	5.588	0.1084	7.771	0.04212
70 	-999.9	-999.9	-999.9	-999.9
