#Source SSTISAGE1C J051236.67-663822.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.4609	0.088111	14.304	0.028
0.4747 	3.8614	0.13281	15.073	0.038
0.547 	4.0069	0.087961	14.937	0.0241
0.802 	4.0811	0.21229	14.525	0.058
1.21 	2.8415	0.082525	14.371	0.032
1.59 	2.7233	0.088817	13.938	0.036
2.15 	5.282	0.14395	12.753	 0.03
3.6 	17.25	0.4886	10.516	0.031
4.5 	24.62	 1.04	9.657	0.046
5.8 	 29.1	0.7051	9.006	0.026
8 	36.13	0.7793	8.106	0.023
24 	42.39	0.4127	5.563	0.021
70 	-999.9	-999.9	-999.9	-999.9
