|        ra |        dec | best | size |                  id |
|    double |     double | char |  int |                char |
  88.001145   -67.287993      y     60   J055200.27-671716.7  
  88.426793   -66.878593      y     60   J055342.43-665242.9  
  89.773553   -67.498154      y     60   J055905.65-672953.3  
  72.073842   -68.742494      y     60   J044817.72-684432.9  
  73.873854    -68.60456      y     60   J045529.72-683616.4  
  75.922458   -67.326863      y     60   J050341.38-671936.7  
  76.062372   -66.435413      y     60   J050414.96-662607.4  
   80.08269   -67.833235      y     60   J052019.84-674959.6  
  80.083768    -69.52081      y     60   J052020.10-693114.9  
  83.914326   -70.184129      y     60   J053539.43-701102.8  
  85.160927   -69.573869      y     60   J054038.62-693425.9  
  86.716273   -68.183165      y     60   J054651.90-681059.3  
  72.907574    -67.08806      y     60   J045137.81-670517.0  
  77.334124   -67.790321      y     60   J050920.18-674725.1  
  78.037639   -71.113802      y     60   J051209.03-710649.6  
  80.218424   -70.159877      y     60   J052052.42-700935.5  
  81.824159   -66.368263      y     60   J052717.79-662205.7  
  72.422624   -68.630949      y     60   J044941.42-683751.4  
  72.668465   -69.292182      y     60   J045040.43-691731.8  
  72.870968   -68.963841      y     60   J045129.03-685749.8  
  78.470599   -67.448529      y     60   J051352.94-672654.7  
  82.352511   -69.920521      y     60   J052924.60-695513.8  
  84.107692   -69.382151      y     60   J053625.84-692255.7  
  84.181888   -69.496524      y     60   J053643.65-692947.4  
  85.055533   -69.379568      y     60   J054013.32-692246.4  
  88.837674   -70.000796      y     60   J055521.04-700002.8  
  73.683915   -70.321054      y     60   J045444.13-701915.7  
   75.40921   -68.975432      y     60   J050138.21-685831.5  
  76.494551   -69.664857      y     60   J050558.69-693953.4  
  76.633796   -71.708266      y     60   J050632.11-714229.7  
   77.14976   -71.291807      y     60   J050835.94-711730.5  
  77.756834   -70.872621      y     60   J051101.64-705221.4  
  77.794216   -66.214951      y     60   J051110.61-661253.8  
  78.057572   -69.593649      y     60   J051213.81-693537.1  
  79.606988   -70.092416      y     60   J051825.67-700532.6  
   79.68847   -70.092929      y     60   J051845.23-700534.5  
  79.703585   -70.046335      y     60   J051848.86-700246.8  
  79.999972   -69.604935      y     60   J051959.99-693617.7  
  80.182675   -69.394699      y     60   J052043.84-692340.9  
  80.813024    -69.96716      y     60   J052315.12-695801.7  
  81.160941   -70.399157      y     60   J052438.62-702356.9  
  81.897018   -70.743727      y     60   J052735.28-704437.4  
   81.91118   -70.871916      y     60   J052738.68-705218.8  
  82.259958   -66.257718      y     60   J052902.38-661527.7  
  82.382089   -68.988274      y     60   J052931.70-685917.7  
  82.824302   -73.108282      y     60   J053117.83-730629.8  
  83.211151   -71.657132      y     60   J053250.67-713925.6  
  83.332279   -69.695785      y     60   J053319.74-694144.8  
  84.536036   -68.089624      y     60   J053808.64-680522.6  
   84.95488   -69.629774      y     60   J053949.17-693747.1  
  87.843838   -69.897585      y     60   J055122.52-695351.3  
  90.336719   -67.649952      y     60   J060120.81-673859.8  
   72.91981   -67.749094      y     60   J045140.75-674456.7  
  73.641028   -69.343376      y     60   J045433.84-692036.1  
  74.847413   -70.532557      y     60   J045923.37-703157.2  
  76.097806   -69.777671      y     60   J050423.47-694639.6  
  76.123258   -67.341779      y     60   J050429.58-672030.4  
  77.438086   -68.769435      y     60   J050945.14-684609.9  
  77.476012   -67.607982      y     60   J050954.24-673628.7  
  81.336471   -70.835385      y     60   J052520.75-705007.3  
   82.14238   -71.932804      y     60   J052834.17-715558.0  
  82.868673   -68.883227      y     60   J053128.48-685259.6  
  82.962455   -69.196254      y     60   J053150.98-691146.5  
  89.608122   -69.740482      y     60   J055825.94-694425.7  
  90.430596   -69.141854      y     60   J060143.34-690830.6  
  71.243368   -70.589616      y     60   J044458.40-703522.6  
  71.480715   -70.844907      y     60   J044555.37-705041.6  
  73.248182   -69.864454      y     60   J045259.56-695152.0  
  73.815694   -70.295029      y     60   J045515.76-701742.1  
   74.37227   -66.310357      y     60   J045729.34-661837.2  
  75.251447   -69.061966      y     60   J050100.34-690343.0  
  75.770659   -68.673555      y     60   J050304.95-684024.7  
  76.826336   -69.128582      y     60   J050718.32-690742.8  
  77.880702   -67.930771      y     60   J051131.36-675550.7  
  78.152833   -66.639569      y     60   J051236.67-663822.4  
   78.33856   -65.654099      y     60   J051321.25-653914.7  
  78.575277   -69.209718      y     60   J051418.06-691234.9  
  78.692423    -67.92986      y     60   J051446.18-675547.4  
  79.588049   -68.822882      y     60   J051821.13-684922.3  
  79.689381   -69.056046      y     60   J051845.45-690321.7  
  80.317335   -67.753327      y     60   J052116.16-674511.9  
  80.449801   -70.165866      y     60   J052147.95-700957.1  
  80.454576   -70.076132      y     60   J052149.09-700434.0  
  80.454576   -70.076132      y     60   J052149.09-700434.0  
  80.559404    -71.95871      y     60   J052214.25-715731.3  
  81.241103   -67.416188      y     60   J052457.86-672458.2  
  81.331169   -70.902696      y     60   J052519.48-705409.7  
  81.613352   -66.716316      y     60   J052627.20-664258.7  
  81.641196   -69.125935      y     60   J052633.88-690733.3  
  82.334324   -71.589241      y     60   J052920.23-713521.2  
  82.877717   -71.746699      y     60   J053130.65-714448.1  
  83.278314   -70.509421      y     60   J053306.79-703033.9  
  83.684061   -67.630602      y     60   J053444.17-673750.1  
  84.397199   -69.583221      y     60   J053735.32-693459.5  
  84.906403    -70.26239      y     60   J053937.53-701544.6  
  85.001973   -69.704105      y     60   J054000.47-694214.7  
  85.803484   -68.565874      y     60   J054312.83-683357.1  
  86.050173   -68.457746      y     60   J054412.04-682727.8  
  86.940676   -68.126149      y     60   J054745.76-680734.1  
  88.358481   -66.980999      y     60   J055326.03-665851.5  
   69.64634   -68.390501      y     60   J043835.12-682325.8  
  71.463642   -66.807424      y     60   J044551.27-664826.7  
  74.107016   -66.521052      y     60   J045625.68-663115.7  
  77.045827   -68.775713      y     60   J050810.99-684632.5  
  79.568366   -69.233321      y     60   J051816.40-691359.9  
  79.903802   -69.035796      y     60   J051936.91-690208.8  
  82.159017   -68.517141      y     60   J052838.16-683101.7  
  83.936509   -67.929838      y     60   J053544.76-675547.4  
  84.050352   -71.288293      y     60   J053612.08-711717.8  
  84.746889   -69.987579      y     60   J053859.25-695915.2  
  87.485608   -70.605671      y     60   J054956.54-703620.4  
  71.418548   -69.886549      y     60   J044540.45-695311.5  
  73.590146   -66.580113      y     60   J045421.63-663448.4  
  73.930065   -67.852777      y     60   J045543.21-675109.9  
  74.065642   -68.345154      y     60   J045615.75-682042.5  
  74.533445   -66.902454      y     60   J045808.02-665408.8  
  75.431198   -69.680049      y     60   J050143.48-694048.1  
  75.897547   -70.063121      y     60   J050335.41-700347.2  
  75.958853   -65.998288      y     60   J050350.12-655953.8  
  76.284689   -70.211688      y     60   J050508.32-701242.0  
  76.879983   -66.938235      y     60   J050731.19-665617.6  
  77.134404   -65.137488      y     60   J050832.25-650814.9  
  77.653186   -66.428713      y     60   J051036.76-662543.3  
  79.351208   -69.429204      y     60   J051724.28-692545.1  
  79.480041   -71.434993      y     60   J051755.20-712605.9  
  79.543046   -69.953916      y     60   J051810.33-695714.0  
  79.614955   -70.012971      y     60   J051827.58-700046.6  
  79.779433   -68.050604      y     60   J051907.06-680302.1  
  79.913618    -68.20749      y     60   J051939.26-681226.9  
  80.494711   -66.791127      y     60   J052158.73-664728.0  
  80.588126   -65.930927      y     60   J052221.15-655551.3  
  80.722541   -71.839168      y     60   J052253.40-715021.0  
  80.728478   -70.818016      y     60   J052254.83-704904.8  
  80.953914   -71.200504      y     60   J052348.93-711201.8  
  81.467702   -66.131757      y     60   J052552.24-660754.3  
   81.72566   -69.413265      y     60   J052654.15-692447.7  
  81.811237   -69.132163      y     60   J052714.69-690755.7  
  82.541044    -69.78213      y     60   J053009.85-694655.6  
  82.698183   -69.781019      y     60   J053047.56-694651.6  
  82.974804   -67.646024      y     60   J053153.95-673845.6  
  83.224884   -70.674249      y     60   J053253.97-704027.2  
  84.835289    -70.49849      y     60   J053920.46-702954.5  
    84.8476   -69.595696      y     60   J053923.42-693544.5  
  84.980042   -70.891352      y     60   J053955.21-705328.8  
  85.378485   -68.047238      y     60   J054130.83-680250.0  
  86.550028   -67.923829      y     60   J054612.00-675525.7  
   88.25404   -67.076602      y     60   J055300.96-670435.7  
  75.936094   -69.636569      y     60   J050344.66-693811.6  
