#Source SSTISAGE1C J053938.56-671922.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	20.044	0.3509	12.397	0.019
0.4747 	190.88	26.555	10.838	0.151
0.547 	45.583	8.5302	12.297	0.2031
0.802 	91.702	10.392	11.146	0.123
1.21 	16.067	0.35127	12.49	0.024
1.59 	10.517	0.22993	12.471	0.024
2.15 	6.6313	0.18072	12.506	 0.03
3.6 	3.105	0.1441	12.378	 0.05
4.5 	1.948	0.1004	12.411	0.056
5.8 	1.276	0.05858	12.401	 0.05
8 	0.7514	0.03915	12.311	0.057
24 	2.209	0.1458	8.778	0.1435
70 	-999.9	-999.9	-999.9	-999.9
