#Source SSTISAGE1C J053256.45-670050.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	25.538	0.56472	12.134	0.024
0.4747 	29.864	3.6322	12.852	0.132
0.547 	13.893	6.2613	13.587	0.4891
0.802 	15.345	1.7109	13.087	0.121
1.21 	7.8985	0.20818	13.261	0.029
1.59 	4.8562	0.093025	13.31	0.021
2.15 	2.9675	0.094137	13.379	0.035
3.6 	1.257	0.03443	13.36	 0.03
4.5 	0.8286	0.06378	13.339	0.084
5.8 	0.5321	0.03937	13.351	 0.08
8 	0.281	0.02645	13.379	0.102
24 	0.9234	0.07763	9.703	0.1792
70 	-999.9	-999.9	-999.9	-999.9
