#Source SSTISAGE1C J045927.38-692825.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.8547	0.84635	13.562	0.134
0.4747 	7.1244	0.19694	14.408	 0.03
0.547 	6.8361	0.2148	14.357	0.0341
0.802 	5.8396	0.20985	14.136	0.039
1.21 	8.1723	8.1722	13.224	13.224
1.59 	3.3783	0.16983	13.704	0.056
2.15 	6.9566	6.9565	12.454	12.454
3.6 	1.451	0.1014	13.204	0.076
4.5 	0.957	0.08173	13.183	0.093
5.8 	0.8594	0.05673	12.83	0.072
8 	0.6283	0.03339	12.505	0.058
24 	1.213	0.04798	9.429	0.0859
70 	-999.9	-999.9	-999.9	-999.9
