#Source SSTISAGE1C J054212.75-685803.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.6556	0.15945	13.594	0.026
0.4747 	7.557	0.1323	14.344	0.019
0.547 	6.0703	0.11802	14.486	0.0211
0.802 	3.7599	0.093545	14.614	0.027
1.21 	2.0794	0.084423	14.71	0.045
1.59 	1.2176	0.079174	14.812	0.073
2.15 	0.76137	0.092725	14.856	0.141
3.6 	0.3578	0.02763	14.724	0.084
4.5 	0.2354	0.02486	14.706	0.115
5.8 	0.2635	0.03322	14.114	0.137
8 	0.5246	0.04772	12.701	0.099
24 	22.64	0.5402	6.252	0.05182
70 	-999.9	-999.9	-999.9	-999.9
