#Source SSTISAGE1C J054000.47-694214.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 1.06	 0.19	15.59	 0.18
0.4747 	  5.5	 0.14	14.69	 0.03
0.547 	 7.13	 0.21	14.31	 0.03
0.802 	10.66	 0.69	13.48	 0.07
1.21 	8.3549	0.2277	 13.2	 0.03
1.59 	9.0012	0.24531	12.64	 0.03
2.15 	9.6382	0.26267	 12.1	 0.03
3.6 	 22.4	 0.82	10.23	 0.04
4.5 	27.38	 1.21	 9.54	 0.05
5.8 	31.06	 0.78	 8.94	 0.03
8 	36.25	 0.89	  8.1	 0.03
24 	20.38	 0.38	 6.37	 0.04
70 	-999.9	-999.9	-999.9	-999.9
