#Source SSTISAGE1C J045719.14-692913.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.0756	0.20713	13.693	0.037
0.4747 	5.759	0.22819	14.639	0.043
0.547 	4.6005	0.11488	14.787	0.0271
0.802 	3.0004	0.12718	14.859	0.046
1.21 	2.0172	0.069378	14.743	0.038
1.59 	1.1921	0.081613	14.835	0.077
2.15 	0.98627	0.087609	14.575	0.101
3.6 	0.5386	0.02257	14.28	0.045
4.5 	0.3499	0.03437	14.275	0.107
5.8 	0.3449	0.0282	13.822	0.089
8 	0.3662	0.02947	13.091	0.087
24 	3.616	0.2592	8.243	0.1559
70 	-999.9	-999.9	-999.9	-999.9
