#Source SSTISAGE1C J052842.31-693607.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.085033	0.0059138	18.328	0.073
0.4747 	1.2728	0.074796	16.278	0.062
0.547 	5.3163	0.21019	14.63	0.0421
0.802 	29.647	3.5867	12.372	0.124
1.21 	43.767	1.1143	11.402	0.028
1.59 	60.912	1.4413	10.564	0.026
2.15 	56.859	1.0892	10.173	0.021
3.6 	49.46	1.857	9.372	0.041
4.5 	45.79	 2.59	8.983	0.061
5.8 	53.23	1.341	 8.35	0.027
8 	 76.2	1.346	7.296	0.019
24 	62.48	0.5013	5.149	0.01742
70 	-999.9	-999.9	-999.9	-999.9
