#Source SSTISAGE1C J053010.32-690933.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0048617	0.0026129	21.435	0.467
0.4747 	0.026083	0.002098	20.499	0.084
0.547 	0.14009	0.0071572	18.578	0.0541
0.802 	0.68989	0.018023	16.455	0.028
1.21 	2.5583	0.092534	14.485	 0.04
1.59 	4.0616	0.13246	13.504	0.036
2.15 	5.1951	0.14158	12.771	 0.03
3.6 	15.93	0.5879	10.602	 0.04
4.5 	25.87	1.083	9.603	0.045
5.8 	41.16	1.116	 8.63	0.029
8 	86.94	1.653	7.153	0.021
24 	137.1	 0.95	4.284	0.01488
70 	-999.9	-999.9	-999.9	-999.9
