#Source SSTISAGE1C J050232.06-690501.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.374	0.070064	15.307	0.054
0.4747 	4.3526	0.11782	14.943	0.029
0.547 	4.9614	0.13477	14.705	0.0291
0.802 	3.9335	0.12887	14.565	0.035
1.21 	4.0583	0.10696	13.984	0.029
1.59 	2.9208	0.097858	13.862	0.037
2.15 	1.8501	0.088143	13.892	0.053
3.6 	1.008	0.07955	 13.6	0.086
4.5 	0.7021	0.05872	13.519	0.091
5.8 	0.6852	0.05925	13.076	0.094
8 	1.551	0.1523	11.524	0.107
24 	1.264	0.07108	9.384	0.1222
70 	-999.9	-999.9	-999.9	-999.9
