#Source SSTISAGE1C J045040.43-691731.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	178.79	3.7476	9.874	0.023
1.59 	348.58	20.256	 8.67	0.065
2.15 	449.57	9.8286	7.928	0.024
3.6 	  406	16.97	7.087	0.045
4.5 	337.3	19.09	6.815	0.061
5.8 	323.5	15.81	6.391	0.053
8 	513.2	14.01	5.225	 0.03
24 	607.2	4.048	 2.68	0.01448
70 	-999.9	-999.9	-999.9	-999.9
