#Source SSTISAGE1C J052721.26-672739.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.009	0.332	13.151	0.036
0.4747 	9.195	0.14403	14.131	0.017
0.547 	8.3254	1.535	14.143	0.2001
0.802 	7.4264	0.24635	13.875	0.036
1.21 	4.4704	0.12983	13.879	0.032
1.59 	3.2203	0.12505	13.756	0.043
2.15 	2.7977	0.09871	13.443	0.039
3.6 	1.635	0.06936	13.075	0.046
4.5 	1.288	0.07729	12.86	0.065
5.8 	0.9562	0.05534	12.714	0.063
8 	0.8569	0.03658	12.168	0.046
24 	3.838	0.07115	8.225	0.04203
70 	-999.9	-999.9	-999.9	-999.9
