#Source SSTISAGE1C J051133.50-683553.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.07	 0.01	17.39	 0.06
0.4747 	 0.29	 0.01	16.696	0.033
0.547 	 0.67	 0.02	16.341	0.0471
0.802 	 1.17	 0.05	15.374	0.138
1.21 	2.3634	0.085488	14.571	 0.04
1.59 	2.2693	0.10014	14.136	0.049
2.15 	1.6998	0.1251	13.984	0.083
3.6 	0.6795	0.02614	14.028	0.042
4.5 	0.4971	0.0343	13.894	0.075
5.8 	0.3744	0.03234	13.732	0.094
8 	0.2628	0.02967	13.452	0.123
24 	-999.9	-999.9	99.999	99.999
70 	-999.9	-999.9	-999.9	-999.9
