#Source SSTISAGE1C J053250.67-713925.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.11662	0.0069673	17.985	0.063
0.4747 	1.0064	0.028194	16.533	 0.03
0.547 	3.5482	0.1031	15.069	0.0311
0.802 	7.9356	0.22233	13.803	 0.03
1.21 	8.9607	0.1959	13.124	0.024
1.59 	7.4731	0.20366	12.842	 0.03
2.15 	5.5004	0.14497	12.709	0.029
3.6 	2.914	0.1312	12.447	0.049
4.5 	2.166	0.1083	12.296	0.054
5.8 	3.624	0.1375	11.268	0.041
8 	18.11	0.336	8.856	 0.02
24 	90.14	0.6321	4.751	0.01523
70 	-999.9	-999.9	-999.9	-999.9
