#Source SSTISAGE1C J051101.64-705221.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.12542	0.0053072	18.794	0.045
0.547 	0.47164	0.013705	17.26	0.0311
0.802 	1.2787	0.033406	15.785	0.028
1.21 	2.1064	0.06682	14.696	0.035
1.59 	2.7638	0.1341	13.922	0.054
2.15 	2.1518	0.10063	13.728	0.052
3.6 	1.472	0.05479	13.189	 0.04
4.5 	1.522	0.07832	12.679	0.056
5.8 	2.264	0.09142	11.778	0.044
8 	4.088	0.09475	10.472	0.025
24 	4.811	0.1552	7.984	0.07344
70 	-999.9	-999.9	-999.9	-999.9
