#Source SSTISAGE1C J050731.19-665617.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.020606	0.0030528	19.867	 0.15
0.4747 	0.18739	0.006496	18.358	0.037
0.547 	0.77841	0.019674	16.716	0.0271
0.802 	2.7163	0.10974	14.967	0.043
1.21 	4.5409	0.13188	13.862	0.032
1.59 	6.2101	0.18036	13.043	0.032
2.15 	5.1097	0.16209	12.789	0.035
3.6 	2.568	0.2123	12.584	 0.09
4.5 	1.388	0.1162	12.779	0.091
5.8 	1.044	0.05977	12.619	0.062
8 	0.6045	0.04465	12.547	 0.08
24 	0.6835	0.06149	10.05	0.1959
70 	-999.9	-999.9	-999.9	-999.9
