#Source SSTISAGE1C J053626.76-685731.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	29.62	0.27291	11.973	 0.01
0.4747 	29.536	0.27214	12.864	 0.01
0.547 	27.746	0.25821	12.836	0.0101
0.802 	48.976	7.1748	11.827	0.159
1.21 	14.871	0.33851	12.574	0.025
1.59 	9.6805	0.22907	12.561	0.026
2.15 	6.3503	0.18443	12.553	0.032
3.6 	3.044	0.1147	12.399	0.041
4.5 	2.025	0.1273	12.369	0.068
5.8 	1.326	0.07545	12.359	0.062
8 	0.7342	0.04392	12.336	0.065
24 	1.775	0.06762	9.016	0.08277
70 	-999.9	-999.9	-999.9	-999.9
