#Source SSTISAGE1C J053703.89-691003.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	18.348	0.16906	12.493	 0.01
0.4747 	21.595	0.19898	13.204	 0.01
0.547 	23.725	0.22079	13.006	0.0101
0.802 	58.611	8.0463	11.632	0.149
1.21 	19.604	0.41092	12.274	0.023
1.59 	13.864	0.34053	12.171	0.027
2.15 	10.018	0.29096	12.058	0.032
3.6 	4.354	0.2508	12.011	0.063
4.5 	3.282	0.1635	11.845	0.054
5.8 	 2.33	0.07406	11.748	0.035
8 	1.724	0.131	11.409	0.082
24 	5.401	0.2197	7.666	0.07755
70 	-999.9	-999.9	-999.9	-999.9
