#Source SSTISAGE1C J053336.31-692312.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.0083	0.03784	15.643	 0.04
0.4747 	4.5535	0.042133	14.894	 0.01
0.547 	13.779	0.12877	13.596	0.0101
0.802 	31.709	3.9349	12.299	0.127
1.21 	33.446	0.85151	11.694	0.028
1.59 	28.074	0.89056	11.405	0.035
2.15 	25.989	0.63833	11.023	0.027
3.6 	47.15	3.228	9.424	0.074
4.5 	54.86	2.681	8.787	0.053
5.8 	71.82	1.681	8.025	0.025
8 	130.2	2.246	6.714	0.019
24 	112.7	1.058	4.464	0.01956
70 	-999.9	-999.9	-999.9	-999.9
