#Source SSTISAGE1C J052254.44-694947.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	8.582	0.2135	13.318	0.027
0.4747 	9.2972	0.29127	14.119	0.034
0.547 	7.2311	0.21389	14.296	0.0321
0.802 	3.8193	0.18652	14.597	0.053
1.21 	2.0116	0.1099	14.746	0.061
1.59 	3.3014	3.3014	13.729	13.729
2.15 	2.2866	2.2866	13.662	13.662
3.6 	0.293	0.02038	14.941	0.076
4.5 	0.1832	0.0303	14.978	 0.18
5.8 	0.2922	0.04389	14.002	0.163
8 	0.5824	0.04177	12.588	0.078
24 	13.93	0.3773	6.779	0.05884
70 	-999.9	-999.9	-999.9	-999.9
