#Source SSTISAGE1C J050810.99-684632.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.18448	0.018871	18.375	0.111
0.547 	0.7325	0.025718	16.782	0.0381
0.802 	2.6084	0.091337	15.011	0.038
1.21 	5.2137	0.11398	13.712	0.024
1.59 	7.3909	0.23446	12.854	0.035
2.15 	6.2058	0.15242	12.578	0.027
3.6 	2.807	0.1314	12.488	0.051
4.5 	1.762	0.1213	12.52	0.075
5.8 	1.252	0.05097	12.422	0.044
8 	0.751	0.02899	12.312	0.042
24 	 3.12	0.08481	8.459	0.06217
70 	-999.9	-999.9	-999.9	-999.9
