#Source SSTISAGE1C J050554.76-664707.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.071705	0.034452	19.401	0.426
0.547 	0.37567	0.013059	17.507	0.0371
0.802 	1.6626	0.092845	 15.5	0.059
1.21 	4.2456	0.18361	13.935	0.048
1.59 	5.3199	0.24411	13.211	0.051
2.15 	4.6259	0.1591	12.897	0.038
3.6 	2.323	0.1153	12.693	0.054
4.5 	2.516	0.2853	12.133	0.123
5.8 	3.106	 0.18	11.435	0.063
8 	 6.59	0.1699	9.953	0.028
24 	13.69	0.1929	6.798	0.0306
70 	-999.9	-999.9	-999.9	-999.9
