#Source SSTISAGE1C J054308.40-675053.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	10.864	0.3003	13.062	 0.03
0.4747 	10.724	0.23715	13.964	0.024
0.547 	8.2719	0.17607	14.15	0.0231
0.802 	4.313	0.16692	14.465	0.042
1.21 	2.3033	0.068952	14.599	0.033
1.59 	1.2402	0.079577	14.792	0.072
2.15 	0.80834	0.096481	14.791	0.138
3.6 	0.3192	0.01612	14.848	0.055
4.5 	0.2063	0.01594	14.849	0.084
5.8 	-999.9	-999.9	99.999	99.999
8 	0.2842	0.0229	13.367	0.088
24 	4.836	0.1943	7.928	0.08731
70 	-999.9	-999.9	-999.9	-999.9
