#Source SSTISAGE1C J050741.80-692231.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.221	0.089039	14.382	 0.03
0.4747 	4.5494	0.1593	14.895	0.038
0.547 	4.0106	0.19624	14.936	0.0531
0.802 	3.2061	0.11817	14.787	 0.04
1.21 	1.8363	0.074553	14.845	0.045
1.59 	1.2975	0.10211	14.743	0.089
2.15 	1.1429	0.082159	14.415	0.081
3.6 	0.6389	0.02527	14.095	0.043
4.5 	0.5001	0.0399	13.888	0.087
5.8 	0.4561	0.04096	13.518	0.098
8 	0.3472	0.02165	13.149	0.068
24 	0.8794	0.05149	9.778	0.1273
70 	-999.9	-999.9	-999.9	-999.9
