#Source SSTISAGE1C J051821.13-684922.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.76416	0.043418	15.944	 0.06
0.4747 	1.9193	0.3946	15.832	0.203
0.547 	2.245	0.069494	15.566	0.0331
0.802 	2.0136	0.08135	15.292	0.043
1.21 	1.6502	0.091595	14.961	0.062
1.59 	1.8009	0.114	14.387	0.071
2.15 	1.7799	0.12643	13.934	 0.08
3.6 	4.901	0.1566	11.882	0.035
4.5 	7.127	0.3847	11.003	0.059
5.8 	 10.2	0.347	10.144	0.037
8 	14.35	0.3391	9.108	0.026
24 	8.884	0.1776	7.235	0.04214
70 	-999.9	-999.9	-999.9	-999.9
