#Source SSTISAGE1C J045433.84-692036.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.70792	0.066158	16.027	0.097
0.4747 	1.1438	0.042925	16.394	 0.04
0.547 	1.7718	0.075147	15.823	0.0451
0.802 	2.5917	0.11216	15.018	0.046
1.21 	2.8783	0.096437	14.357	0.037
1.59 	3.7385	0.071615	13.594	0.021
2.15 	7.2176	0.17727	12.414	0.027
3.6 	29.13	0.8341	9.947	0.031
4.5 	46.88	2.352	8.958	0.054
5.8 	74.73	1.413	7.982	0.021
8 	143.8	1.713	6.606	0.013
24 	193.2	1.645	3.904	0.01816
70 	-999.9	-999.9	-999.9	-999.9
