#Source SSTISAGE1C J053932.66-712154.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.52	 0.02	16.37	 0.04
0.4747 	 2.53	 0.08	15.53	 0.03
0.547 	 3.28	 0.08	15.16	 0.03
0.802 	 4.38	 0.25	14.45	 0.06
1.21 	8.0527	0.21946	13.24	 0.03
1.59 	11.437	0.31168	12.38	 0.03
2.15 	8.9536	0.24401	12.18	 0.03
3.6 	 4.82	 0.28	 11.9	 0.06
4.5 	 3.17	 0.32	11.88	 0.11
5.8 	 3.23	 0.16	11.39	 0.05
8 	 5.86	 0.24	10.08	 0.04
24 	 8.36	 0.14	 7.33	 0.04
70 	-999.9	-999.9	-999.9	-999.9
