#Source SSTISAGE1C J054613.22-710740.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.039554	0.0037781	19.159	0.109
0.4747 	0.17683	0.0052937	18.421	0.033
0.547 	1.0975	0.30979	16.343	0.3601
0.802 	5.7436	0.60098	14.154	 0.12
1.21 	20.987	0.45882	 12.2	0.024
1.59 	36.568	0.83239	11.118	0.025
2.15 	43.451	0.91077	10.465	0.023
3.6 	45.14	1.864	9.472	0.045
4.5 	29.68	1.032	9.454	0.038
5.8 	24.05	0.7335	9.213	0.033
8 	18.26	0.3492	8.847	0.021
24 	1.709	0.06102	9.057	0.03877
70 	-999.9	-999.9	-999.9	-999.9
