#Source SSTISAGE1C J053648.73-685442.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.5961	0.51243	13.996	0.121
0.4747 	5.0252	0.069458	14.787	0.015
0.547 	3.9374	0.11284	14.956	0.0311
0.802 	2.3355	0.053803	15.131	0.025
1.21 	1.1417	0.08012	15.361	0.079
1.59 	0.83387	0.092051	15.223	0.127
2.15 	0.52577	0.098801	15.258	0.226
3.6 	0.1997	0.009972	15.357	0.054
4.5 	0.1346	0.01056	15.313	0.085
5.8 	-999.9	-999.9	99.999	99.999
8 	0.2717	0.01754	13.415	 0.07
24 	9.947	0.2657	7.145	0.05802
70 	-999.9	-999.9	-999.9	-999.9
