#Source SSTISAGE1C J053321.73-684629.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	12.022	2.1933	12.952	0.198
0.4747 	10.863	0.41039	13.95	0.041
0.547 	9.1708	0.55857	14.038	0.0661
0.802 	5.9208	0.12548	14.121	0.023
1.21 	3.2957	0.080946	14.21	0.027
1.59 	2.0659	0.0563	14.238	 0.03
2.15 	1.4243	0.077814	14.176	0.061
3.6 	0.5463	0.01998	14.265	 0.04
4.5 	0.3905	0.02267	14.156	0.063
5.8 	0.2163	0.02006	14.328	0.101
8 	0.1555	0.01545	14.021	0.108
24 	1.638	0.07247	9.103	0.09615
70 	-999.9	-999.9	-999.9	-999.9
