#Source SSTISAGE1C J045529.72-683616.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.038296	0.0024376	20.082	0.067
0.547 	0.21777	0.0086102	18.099	0.0421
0.802 	1.3539	0.053399	15.723	0.042
1.21 	3.5281	0.11821	14.136	0.037
1.59 	5.5911	0.24672	13.157	0.049
2.15 	4.8663	0.1717	12.842	0.039
3.6 	2.458	0.2383	12.632	0.105
4.5 	1.562	0.1349	12.651	0.094
5.8 	1.344	0.1617	12.345	0.131
8 	-999.9	-999.9	99.999	99.999
24 	9.392	0.2687	7.207	0.06215
70 	167.8	18.43	1.665	0.2395
