#Source SSTISAGE1C J051827.58-700046.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.013551	0.0017735	20.322	0.142
0.4747 	0.16008	0.02331	18.529	0.158
0.547 	0.89291	0.046984	16.567	0.0571
0.802 	3.1563	0.13379	14.804	0.046
1.21 	5.1185	0.12572	13.732	0.027
1.59 	7.591	0.20007	12.825	0.029
2.15 	5.7862	0.16805	12.654	0.032
3.6 	2.815	0.1083	12.484	0.042
4.5 	1.639	0.08079	12.599	0.054
5.8 	1.074	0.0504	12.588	0.051
8 	0.6782	0.03782	12.422	0.061
24 	1.235	0.07115	9.409	0.1252
70 	-999.9	-999.9	-999.9	-999.9
