#Source SSTISAGE1C J052010.75-702322.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.050581	0.0042704	18.892	0.088
0.4747 	0.31214	0.014711	17.804	 0.05
0.547 	1.0443	0.075819	16.397	0.0761
0.802 	6.6985	0.27704	13.987	0.044
1.21 	12.763	0.31347	12.74	0.027
1.59 	19.351	0.51002	11.809	0.029
2.15 	17.282	0.39339	11.466	0.025
3.6 	15.45	0.5041	10.636	0.035
4.5 	14.02	0.4687	10.269	0.036
5.8 	14.32	0.436	9.776	0.033
8 	21.18	0.4811	8.686	0.025
24 	14.58	0.2375	 6.73	0.03537
70 	-999.9	-999.9	-999.9	-999.9
