#Source SSTISAGE1C J052217.15-672727.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	13.576	0.72554	12.82	0.058
0.4747 	29.319	3.701	12.872	0.137
0.547 	20.231	1.6422	13.179	0.0881
0.802 	15.177	1.3704	13.099	0.098
1.21 	8.4556	0.20008	13.187	0.026
1.59 	5.3346	0.16446	13.208	0.034
2.15 	3.4229	0.13897	13.224	0.045
3.6 	1.589	0.05713	13.105	0.039
4.5 	0.9933	0.06206	13.142	0.068
5.8 	0.6625	0.05619	13.113	0.092
8 	0.4311	0.03691	12.914	0.093
24 	0.8735	0.05346	9.786	0.1331
70 	-999.9	-999.9	-999.9	-999.9
