#Source SSTISAGE1C J054100.56-704326.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.0063	0.068402	14.896	0.037
0.4747 	2.5209	0.067365	15.536	0.029
0.547 	2.272	0.048362	15.553	0.0231
0.802 	1.4641	0.13627	15.638	0.101
1.21 	0.81272	0.071511	15.73	  0.1
1.59 	0.6233	0.074901	15.539	0.139
2.15 	0.45206	0.093306	15.422	0.251
3.6 	0.4356	0.0233	14.51	0.058
4.5 	0.4202	0.03691	14.076	0.095
5.8 	0.3436	0.04338	13.826	0.137
8 	0.5419	0.04091	12.666	0.082
24 	4.235	0.09869	8.072	0.05061
70 	-999.9	-999.9	-999.9	-999.9
