#Source SSTISAGE1C J052654.15-692447.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.072042	0.0075347	18.508	0.108
0.4747 	0.59587	0.026361	17.102	0.047
0.547 	2.1677	0.11916	15.604	0.0581
0.802 	4.8751	0.22506	14.332	0.049
1.21 	7.0266	0.21035	13.388	0.033
1.59 	8.6119	0.25781	12.688	0.033
2.15 	6.4803	0.194	12.531	0.033
3.6 	2.758	0.221	12.507	0.087
4.5 	1.925	0.1302	12.424	0.073
5.8 	1.293	0.1015	12.387	0.085
8 	1.217	0.1091	11.787	0.097
24 	0.9911	0.06171	9.578	0.1268
70 	-999.9	-999.9	-999.9	-999.9
