#Source SSTISAGE1C J050839.34-710636.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.004361	0.0017764	21.553	0.371
0.4747 	0.019932	0.0019835	20.791	0.103
0.547 	0.030592	0.0029545	20.23	0.1001
0.802 	0.11292	0.0079648	18.42	0.074
1.21 	0.41643	0.049366	16.456	0.137
1.59 	0.49511	0.087822	15.789	0.212
2.15 	0.78054	0.081672	14.829	 0.12
3.6 	0.6255	0.02413	14.118	0.042
4.5 	0.504	0.03898	13.879	0.084
5.8 	0.8053	0.04486	12.901	 0.06
8 	5.993	0.2278	10.056	0.041
24 	27.73	0.3232	6.031	0.02531
70 	247.8	4.923	1.242	0.04314
