#Source SSTISAGE1C J053117.83-730629.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	5.5609	0.13158	13.642	0.026
1.59 	4.7764	0.14299	13.328	0.033
2.15 	3.3543	0.1421	13.246	0.047
3.6 	2.583	0.08519	12.578	0.036
4.5 	3.167	0.1048	11.884	0.036
5.8 	13.39	0.3989	9.849	0.032
8 	70.18	0.9888	7.385	0.015
24 	294.4	2.181	3.475	0.01622
70 	90.79	2.943	2.332	0.07042
