#Source SSTISAGE1C J045907.39-654313.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	21.736	2.3633	12.309	0.118
0.4747 	22.613	0.60423	13.154	0.029
0.547 	18.147	1.5734	13.297	0.0941
0.802 	10.009	0.35967	13.551	0.039
1.21 	5.4795	0.12966	13.658	0.026
1.59 	3.0054	0.10337	13.831	0.038
2.15 	2.1557	0.087522	13.726	0.045
3.6 	1.216	0.05513	13.396	0.049
4.5 	1.549	0.05077	12.66	0.036
5.8 	2.041	0.08283	11.891	0.044
8 	20.32	0.3619	8.731	0.019
24 	387.3	2.072	3.169	0.01162
70 	117.2	8.837	2.055	0.164
