#Source SSTISAGE1C J050939.73-685429.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	7.4471	0.33623	13.472	0.049
0.4747 	7.1244	0.19694	14.408	 0.03
0.547 	6.1434	0.17605	14.473	0.0311
0.802 	3.0004	0.12441	14.859	0.045
1.21 	1.5673	0.071917	15.017	0.051
1.59 	1.0556	0.082182	14.967	0.088
2.15 	0.72643	0.08847	14.907	0.141
3.6 	0.2331	0.011	15.189	0.051
4.5 	0.1618	0.01771	15.113	0.119
5.8 	0.1638	0.02123	14.63	0.141
8 	0.5927	0.03376	12.569	0.062
24 	5.836	0.229	7.723	0.08526
70 	-999.9	-999.9	-999.9	-999.9
