#Source SSTISAGE1C J054130.83-680250.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.16965	0.0033132	18.466	0.021
0.547 	0.7642	0.014279	16.736	0.0201
0.802 	3.1073	0.11364	14.821	0.039
1.21 	5.7167	0.14041	13.612	0.027
1.59 	8.4314	0.24487	12.711	0.032
2.15 	6.6435	0.1572	12.504	0.026
3.6 	3.395	0.1217	12.281	0.039
4.5 	1.968	0.09735	 12.4	0.054
5.8 	1.441	0.06039	12.269	0.045
8 	1.449	0.0544	11.598	0.041
24 	0.8046	0.05084	9.875	0.1374
70 	-999.9	-999.9	-999.9	-999.9
