#Source SSTISAGE1C J051418.06-691234.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.84098	0.03785	15.84	 0.05
0.4747 	4.4458	0.16081	14.92	 0.04
0.547 	5.7228	0.207	14.55	 0.04
0.802 	7.5994	 0.53	13.85	 0.07
1.21 	9.2458	0.25197	13.09	 0.03
1.59 	9.0012	0.32558	12.64	 0.04
2.15 	9.7274	0.35185	12.09	 0.04
3.6 	26.57	 1.22	10.05	 0.05
4.5 	34.08	 1.08	  9.3	 0.03
5.8 	42.76	  1.1	 8.59	 0.03
8 	51.05	 0.96	 7.73	 0.02
24 	29.34	 0.36	 5.97	 0.03
70 	-999.9	-999.9	-999.9	-999.9
