#Source SSTISAGE1C J050829.45-684506.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.40438	0.022359	16.635	 0.06
0.4747 	0.95137	0.027178	16.594	0.031
0.547 	1.3183	0.041425	16.144	0.0341
0.802 	1.2717	0.098436	15.791	0.084
1.21 	1.2716	0.060581	15.244	0.053
1.59 	1.2131	0.10368	14.816	0.097
2.15 	0.97543	0.087464	14.587	0.102
3.6 	0.9263	0.04422	13.691	0.052
4.5 	0.9115	0.0375	13.236	0.045
5.8 	1.115	0.06339	12.547	0.062
8 	1.602	0.0639	11.489	0.043
24 	3.518	0.06143	8.273	0.03792
70 	-999.9	-999.9	-999.9	-999.9
