#Source SSTISAGE1C J050429.58-672030.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.34513	0.013096	16.807	0.042
0.4747 	1.1302	0.029788	16.407	0.029
0.547 	2.4775	0.13773	15.459	0.0621
0.802 	3.8404	0.090874	14.591	0.026
1.21 	3.9368	0.10729	14.017	 0.03
1.59 	3.6099	0.12737	13.632	0.039
2.15 	2.5468	0.098894	13.545	0.043
3.6 	1.106	0.05788	13.498	0.057
4.5 	0.7042	0.04321	13.516	0.067
5.8 	0.5166	0.03415	13.383	0.072
8 	0.2549	0.02112	13.485	 0.09
24 	7.922	0.1611	7.392	0.04418
70 	52.71	3.222	2.911	0.1314
