#Source SSTISAGE1C J054056.20-703854.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	19.213	0.7258	12.443	0.041
0.4747 	21.045	1.5319	13.232	0.079
0.547 	21.341	2.7942	13.121	0.1421
0.802 	15.761	1.0456	13.058	0.072
1.21 	9.5927	0.20107	13.05	0.023
1.59 	6.4432	0.20439	13.003	0.035
2.15 	4.1457	0.14259	13.016	0.038
3.6 	1.922	0.06874	12.899	0.039
4.5 	1.191	0.0801	12.946	0.073
5.8 	0.8279	0.05443	12.871	0.071
8 	0.4805	0.03513	12.796	0.079
24 	0.9232	0.1027	9.726	0.2426
70 	-999.9	-999.9	-999.9	-999.9
