#Source SSTISAGE1C J045515.76-701742.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.85662	0.11789	15.82	 0.14
0.4747 	2.2529	0.097503	15.658	0.046
0.547 	3.4515	0.10357	15.099	0.0321
0.802 	4.2421	0.20402	14.483	0.051
1.21 	4.7725	0.13006	13.808	 0.03
1.59 	5.218	0.16087	13.232	0.034
2.15 	7.3654	0.16102	12.392	0.024
3.6 	15.58	0.4393	10.627	0.031
4.5 	15.49	0.8347	10.16	0.058
5.8 	 13.9	0.4205	9.809	0.033
8 	15.45	0.432	9.028	 0.03
24 	19.55	0.2469	6.411	0.02743
70 	-999.9	-999.9	-999.9	-999.9
