#Source SSTISAGE1C J053444.17-673750.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.7393	0.048729	15.051	 0.03
0.4747 	1.6457	0.03214	15.999	0.021
0.547 	2.204	0.039115	15.586	0.0191
0.802 	2.1398	0.055902	15.226	0.028
1.21 	2.5069	0.097345	14.507	0.043
1.59 	2.2259	0.1409	14.157	0.071
2.15 	2.6424	0.13052	13.505	0.055
3.6 	7.351	0.181	11.442	0.027
4.5 	10.69	0.3571	10.562	0.036
5.8 	15.16	0.3285	9.714	0.024
8 	20.25	0.288	8.734	0.015
24 	26.21	0.3648	6.093	0.03023
70 	-999.9	-999.9	-999.9	-999.9
