#Source SSTISAGE1C J052257.35-685818.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.027796	0.0023522	19.542	0.096
0.4747 	0.19335	0.0056155	18.324	0.032
0.547 	0.58184	0.025727	17.032	0.0491
0.802 	2.1998	0.056005	15.196	0.028
1.21 	5.4544	0.12906	13.663	0.026
1.59 	8.6996	0.25266	12.677	0.032
2.15 	13.639	0.31047	11.723	0.025
3.6 	22.74	0.6801	10.216	0.032
4.5 	32.46	1.534	9.357	0.051
5.8 	39.06	0.9534	8.686	0.026
8 	42.43	0.8979	7.931	0.023
24 	 9.82	0.1803	7.159	0.01994
70 	-999.9	-999.9	-999.9	-999.9
