#Source SSTISAGE1C J054312.83-683357.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.29026	0.0095093	16.995	0.035
0.4747 	1.4373	0.022682	16.146	0.017
0.547 	1.8349	0.041184	15.785	0.0241
0.802 	3.9809	0.081489	14.552	0.022
1.21 	4.707	0.10291	13.823	0.024
1.59 	4.5952	0.1046	13.37	0.025
2.15 	4.4833	0.11816	12.931	0.029
3.6 	12.04	0.3231	10.907	0.029
4.5 	16.67	0.6772	10.08	0.044
5.8 	21.35	0.6029	9.343	0.031
8 	26.51	0.5274	8.442	0.022
24 	 16.3	0.3217	6.619	0.0433
70 	-999.9	-999.9	-999.9	-999.9
