#Source SSTISAGE1C J054718.54-705859.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0051379	0.0015978	21.375	0.294
0.4747 	0.10635	0.0051149	18.973	0.051
0.547 	0.58453	0.01754	17.027	0.0321
0.802 	2.7566	0.10873	14.951	0.042
1.21 	5.9203	0.15604	13.574	0.029
1.59 	8.8941	0.1784	12.653	0.022
2.15 	7.231	0.1776	12.412	0.027
3.6 	4.195	0.1252	12.051	0.032
4.5 	 3.15	0.1866	11.889	0.064
5.8 	 2.73	0.1153	11.576	0.046
8 	4.859	0.1323	10.284	 0.03
24 	2.847	0.06584	8.503	0.05023
70 	-999.9	-999.9	-999.9	-999.9
