#Source SSTISAGE1C J052254.83-704904.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.015863	0.0023166	20.151	0.148
0.4747 	0.22241	0.068899	18.172	0.293
0.547 	0.89126	0.062073	16.569	0.0731
0.802 	2.8707	0.10773	14.907	 0.04
1.21 	4.9152	0.10303	13.776	0.023
1.59 	7.4731	0.19026	12.842	0.028
2.15 	6.0701	0.15999	12.602	0.029
3.6 	3.805	0.1174	12.157	0.033
4.5 	 3.09	0.1711	11.91	 0.06
5.8 	2.974	0.1076	11.482	0.039
8 	3.728	0.1261	10.572	0.037
24 	4.706	0.08757	7.957	0.04041
70 	-999.9	-999.9	-999.9	-999.9
