#Source SSTISAGE1C J051825.67-700532.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.012741	0.0023367	20.389	0.199
0.4747 	0.17012	0.0087795	18.463	0.056
0.547 	0.80243	0.034828	16.683	0.0471
0.802 	2.5774	0.11875	15.024	 0.05
1.21 	3.9151	0.11721	14.023	0.033
1.59 	5.7743	0.17802	13.122	0.034
2.15 	4.4957	0.14662	12.928	0.036
3.6 	2.395	0.1266	12.66	0.057
4.5 	2.715	0.1903	12.051	0.076
5.8 	7.542	0.2843	10.472	0.041
8 	38.71	0.5799	8.031	0.016
24 	388.9	2.203	3.164	0.0123
70 	-999.9	-999.9	-999.9	-999.9
