#Source SSTISAGE1C J045615.75-682042.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.024232	0.0033275	19.691	0.149
0.4747 	0.060194	0.014812	19.591	0.267
0.547 	0.8449	0.029665	16.627	0.0381
0.802 	3.6642	0.1283	14.642	0.038
1.21 	6.7289	0.17131	13.435	0.028
1.59 	9.4776	0.2498	12.584	0.029
2.15 	7.8922	0.20801	12.317	0.029
3.6 	4.068	0.1775	12.085	0.047
4.5 	2.483	0.1159	12.148	0.051
5.8 	1.988	0.1014	11.92	0.055
8 	1.887	0.07891	11.311	0.045
24 	3.886	0.08627	8.165	0.04822
70 	-999.9	-999.9	-999.9	-999.9
